epoch,train_loss,val_loss,val_acc
1,1.645956,1.544780,0.369565
2,1.387032,1.368087,0.483696
3,1.206652,1.223796,0.516304
4,1.043410,1.266225,0.478261
5,0.964450,1.131725,0.532609
6,0.869636,1.159984,0.548913
7,0.800871,1.036509,0.619565
8,0.747706,1.035005,0.603261
9,0.647418,0.930668,0.673913
10,0.587214,1.054244,0.614130
11,0.550386,0.917409,0.679348
12,0.510270,0.957465,0.673913
13,0.472657,0.996638,0.684783
14,0.435481,0.924177,0.711957
15,0.424069,0.921492,0.717391
16,0.388343,0.984232,0.717391
17,0.351704,0.873278,0.744565
18,0.349091,0.869463,0.739130
19,0.322846,0.888236,0.722826
20,0.318411,0.905332,0.733696
21,0.303162,0.885905,0.755435
22,0.293453,0.890441,0.750000
23,0.289578,0.803202,0.777174
24,0.283342,0.866654,0.744565
25,0.283747,0.911496,0.733696
26,0.273908,0.861999,0.766304
27,0.265594,0.841087,0.760870
28,0.269255,0.912659,0.750000
29,0.266400,0.846811,0.793478
30,0.263343,0.866779,0.771739
31,0.268642,0.887895,0.755435
32,0.258090,0.818525,0.760870
33,0.259866,0.903216,0.755435
34,0.257202,0.840196,0.771739
35,0.255865,0.836343,0.744565
36,0.254799,0.826559,0.777174
37,0.254604,0.820298,0.782609
38,0.255559,0.854594,0.782609
39,0.252270,0.848676,0.788043
40,0.253146,0.820985,0.782609
41,0.251551,0.882056,0.771739
42,0.251615,0.835547,0.793478
43,0.252506,0.840197,0.804348
44,0.251768,0.841976,0.798913
45,0.251469,0.839537,0.804348
46,0.251351,0.837813,0.798913
47,0.251656,0.824019,0.798913
48,0.250330,0.841983,0.777174
49,0.250802,0.817735,0.793478
50,0.249853,0.820895,0.815217
